ID,SEASON,TOP_SCORER_GOALS_SCORED
5,2017,29
11,2016,25
5,2015,26
13,2014,31
14,2013,26
13,2012,30
14,2011,20
5,2010,29
14,2009,19
14,2008,31
14,2007,20
5,2006,27
5,2005,25
1,2004,30
14,2003,25
1,2002,24
14,2001,23
14,2000,30
14,1999,18
1,1998,18
14,1997,25
14,1996,31
3,1995,34
14,1994,34
14,1993,22
10,1992,29
1,1991,22
12,1990,24
1,1989,23
12,1988,26
7,1987,33
12,1986,30
7,1985,24
12,1984,32
12,1983,27
12,1982,26
2,1981,20
12,1980,23
12,1979,24
16,1978,30
12,1977,25
12,1976,23
6,1975,21
10,1974,21
12,1973,28
6,1972,33
1,1971,28
7,1970,25
10,1969,27
13,1968,28
14,1967,37
12,1966,29
14,1965,29
12,1964,35
7,1963,37
9,1962,33
22,1961,41
4,1960,32
24,1959,33
24,1958,36
14,1957,38
14,1956,33
5,1955,27
24,1954,29
1,1953,24
14,1952,33
22,1951,30
17,1950,25
17,1949,25
1,1948,33
12,1947,37
7,1939,35
1,1938,28
13,1937,33
21,1936,39
1,1935,42
1,1934,34
1,1933,35
7,1932,44
1,1931,49
20,1930,41
20,1929,43
7,1928,60
15,1927,37
8,1926,43
8,1925,31
8,1924,28
12,1923,30
12,1922,31
4,1921,38
23,1920,37
7,1915,35
3,1914,32
21,1913,30
3,1912,25
14,1911,25
2,1910,30
15,1909,38
14,1908,27
15,1907,30
12,1906,26
15,1905,22
20,1904,20
20,1903,31
21,1902,18
12,1901,23
2,1900,27
2,1899,23
19,1898,21
2,1897,22
2,1896,20
21,1895,22
2,1894,27
21,1893,31
21,1892,32
7,1891,26
18,1890,24
18,1889,21
